;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
60;160023805000007;7.0;400.0;170.67;256.0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;7;3;4;0;0;0;0;0;0;0;0
61;160023805000008;4.08;937.02;493.32;849.61;224;217;5;25;29;29;31;44;39;33141112;915;901;8;71;915;457;458;336447;336447;0;144;20;20;2;1
62;160025305000001;4.06;647.78;329.25;683.42;219;201;4;14;26;26;33;32;37;3019156;858;831;5;44;858;456;402;189970;189520;450;162;4;20;1;0
63;160025305000002;4.18;629.97;305.91;730.45;77;74;0;1;14;14;9;10;13;9662;312;309;0;1;312;169;143;65184;65184;0;48;4;7;0;0
64;160025305000003;4.3;418.58;207.7;584.84;130;130;0;2;13;13;21;24;23;157116;559;559;0;5;559;307;252;87946;87946;0;82;3;4;0;0
65;160025305000004;3.92;533.75;277.01;561.32;25;24;0;0;4;4;4;8;3;0110;95;94;0;0;95;56;39;20715;20715;0;22;0;1;0;0
66;160025305000005;4.99;443.96;232.29;484.96;263;263;0;2;25;25;25;36;49;31291919;1313;1313;0;11;1313;740;573;205978;205978;0;212;9;8;0;0
67;160025305000006;3.85;645.08;318.72;659.67;61;59;0;2;7;7;14;8;9;7831;232;227;0;5;232;127;105;56382;56382;0;45;1;3;0;1
68;160025305000007;4.64;560.45;328.04;807.48;194;187;5;20;25;25;22;27;29;25211111;896;878;12;49;896;465;431;219243;219243;0;100;12;17;0;0
69;160027905000001;3.46;555.94;314.36;665.19;140;93;0;25;27;27;35;17;20;15977;482;357;0;60;482;254;228;119890;119890;0;96;5;6;0;0
