;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
46;270030005000004;3.19;1541.59;817.25;1229.45;238;197;39;63;43;43;50;44;51;29882;760;668;85;174;760;348;412;561038;559738;1300;128;34;57;4;4
47;270030005000005;3.36;1000.49;736.02;1045.57;206;198;8;44;25;25;56;49;30;201542;692;680;12;151;692;286;406;465663;465663;0;106;26;38;0;1
48;270030005000006;3.46;1168.24;649.73;951.45;351;350;0;87;28;28;69;97;77;4818101;1213;1211;0;292;1213;505;708;692552;692402;150;235;32;63;2;3
49;270030005000007;3.53;1355.22;881.89;1291.95;249;244;0;48;22;22;46;60;58;361072;866;861;0;155;866;377;489;664061;664061;0;119;24;65;2;2
50;270030005000008;4.05;314.04;248.97;541.12;224;224;0;28;14;14;35;47;48;4115116;908;908;0;102;908;434;474;187226;187226;0;127;2;0;0;0
51;270030005000009;3.76;1178.32;643.62;1016.64;359;329;0;69;21;21;54;75;91;512083;1270;1240;0;225;1270;567;703;695885;695885;0;208;26;67;4;3
52;270030005000010;3.71;768.31;380.99;681.47;198;193;1;69;17;17;32;54;41;231484;741;722;2;276;741;353;388;228975;227210;1765;155;15;16;0;1
53;270030005000011;3.87;587.86;322.45;514.12;327;293;0;94;26;26;45;79;83;46191011;1267;1156;0;330;1267;596;671;332124;332124;0;279;12;10;0;2
54;270030005000012;3.71;601.25;333.26;551.31;279;269;0;131;23;23;45;70;68;3419141;1035;1004;0;488;1035;498;537;281742;281742;0;220;15;15;0;0
55;270030005000013;3.91;716.59;399.19;834.13;82;82;0;11;6;6;9;16;23;18532;321;321;0;45;321;153;168;109843;109843;0;45;6;4;1;1
56;270030005000014;3.91;518.25;333.07;558.15;162;161;0;33;9;9;30;29;41;31972;633;632;0;113;633;288;345;184190;184190;0;138;4;3;0;0
57;270030005000015;3.53;702.48;379.72;631.67;287;285;0;62;24;24;54;72;72;371548;1012;1006;0;211;1012;463;549;334154;334154;0;229;15;21;1;0
58;270030005000016;3.57;558.6;318.32;530.72;308;266;1;90;28;28;59;75;68;3922103;1101;971;1;295;1101;500;601;295079;295079;0;260;11;13;0;0
59;270030005000017;3.87;428.49;285.17;471.76;337;335;0;64;24;24;58;75;80;4918127;1305;1297;0;217;1305;615;690;305700;305326;374;270;8;7;0;0
60;270030005000018;3.59;542.31;310.26;526.96;224;190;5;84;27;27;34;53;49;3213102;802;690;19;277;802;377;425;204459;203559;900;188;7;10;0;0
61;270030005000019;3.69;535.16;316.86;492.1;159;145;0;49;17;17;27;39;36;181151;587;548;0;158;587;276;311;153042;153042;0;131;9;5;0;0
62;270030005000020;3.74;659.41;348.87;613.84;223;181;0;64;20;20;39;53;50;231757;833;689;0;204;833;385;448;242467;240447;2020;180;10;5;0;2
63;270030005000021;3.26;1535.4;852.23;1366.76;289;267;22;54;36;36;73;64;59;291755;941;890;51;168;941;428;513;731215;731215;0;170;15;62;0;12
64;270030005000022;3.49;666.44;379.85;603.14;156;153;3;49;16;16;34;42;36;10534;544;539;5;159;544;236;308;178529;178529;0;123;12;7;0;0
65;270030005000023;3.21;1199.38;659.55;973.04;251;241;7;67;28;28;58;68;52;241223;803;779;17;191;803;341;462;471679;467579;4100;169;30;40;1;3
66;270030005000024;3.29;2123.87;1111.64;1631.73;288;255;11;85;29;29;61;78;64;331150;940;853;32;267;940;403;537;904181;904181;0;135;26;86;10;13
67;270030005000025;3.47;1197.72;723.0;1133.82;303;303;0;87;33;33;58;73;66;431594;1051;1051;0;275;1051;494;557;656234;656234;0;189;20;62;2;4
68;270030005000026;3.45;1155.41;661.13;1055.85;287;268;0;67;33;33;56;71;64;3413100;990;937;0;206;990;463;527;569954;569954;0;176;17;49;5;4
69;270030005000027;3.68;1112.47;755.39;1153.69;451;448;1;86;17;17;71;119;142;612385;1657;1651;1;294;1657;794;863;1011084;1009834;1250;236;56;81;1;6
70;270030005000028;3.8;1917.52;932.73;1602.51;280;276;0;48;17;17;33;74;81;451952;1064;1054;0;166;1064;513;551;839638;839638;0;137;24;84;8;8
71;270030005000029;3.53;1017.96;634.49;1078.89;279;278;0;57;22;22;55;68;64;421673;983;981;0;213;983;435;548;541672;540262;1410;167;27;29;1;5
72;270030005000030;3.57;869.92;474.26;770.1;345;312;8;115;25;25;73;80;86;511265;1230;1154;19;347;1230;596;634;484706;484706;0;254;20;41;2;2
73;270030005000031;3.78;563.2;315.91;587.14;419;385;0;124;40;40;65;91;97;643986;1583;1475;0;450;1583;759;824;402781;402531;250;319;17;22;1;0
74;270030005000032;3.64;362.47;217.61;617.73;256;250;2;50;16;16;44;62;74;331386;933;909;8;182;933;446;487;172347;172347;0;124;4;6;0;1
75;270030005000033;3.51;486.8;296.84;557.13;261;245;0;100;31;31;47;64;56;3512102;917;863;0;329;917;428;489;221739;221739;0;174;10;8;0;0
76;270030005000034;3.48;844.61;505.72;890.15;275;271;0;78;32;32;55;59;64;3612104;957;948;0;254;957;434;523;413772;413772;0;189;19;28;0;1
77;270030005000035;3.54;1256.2;717.78;1123.31;182;181;1;48;20;20;31;43;42;231382;644;640;4;149;644;288;356;396741;396741;0;122;14;33;3;2
78;270030005000036;3.46;930.15;496.81;891.76;257;254;2;64;27;27;46;59;63;401650;889;881;3;201;889;387;502;391133;391133;0;170;11;31;4;2
79;270030005000037;3.4;686.77;378.87;793.99;217;216;0;69;23;23;49;49;53;26833;737;736;0;215;737;334;403;240130;240130;0;148;8;18;0;1
80;270030005000038;3.31;910.22;536.28;818.54;270;262;1;75;35;35;51;63;69;301453;895;869;3;232;895;390;505;419911;419911;0;196;23;33;0;2
81;270030005000039;3.85;928.09;540.93;860.29;248;235;0;65;16;16;54;36;62;3821135;956;898;0;231;956;429;527;446343;446343;0;183;11;35;3;0
82;270030005000040;3.49;1307.81;721.88;1125.33;237;232;5;48;21;21;39;65;56;381143;826;809;17;164;826;373;453;524381;524381;0;141;28;52;3;2
83;270030005000041;3.62;1344.49;728.77;1188.98;279;273;6;44;19;19;57;57;72;471474;1011;990;21;172;1011;482;529;661389;661389;0;165;21;70;5;1
84;270030005000042;3.77;646.84;455.33;701.19;225;213;0;58;16;16;35;60;44;3813103;843;809;0;210;843;373;470;323840;322130;1710;151;14;12;0;1
85;270030005000043;3.48;629.18;346.19;801.74;365;342;0;122;33;33;68;101;83;372592;1273;1207;0;410;1273;594;679;367999;367999;0;173;27;38;0;0
86;270030005000044;3.55;705.94;410.71;729.2;375;375;0;119;43;43;75;76;92;491886;1332;1332;0;377;1332;640;692;457938;457938;0;253;26;27;0;3
87;270030005000045;3.61;1291.6;671.7;1257.32;261;261;0;82;20;20;47;62;60;441962;941;941;0;300;941;454;487;549087;549087;0;127;24;60;2;4
88;270030005000046;3.58;1793.93;932.64;1470.7;303;286;11;61;19;19;62;69;75;472060;1084;1037;29;195;1084;508;576;831908;831908;0;166;32;60;4;16
89;270030005000047;3.89;895.62;456.86;840.29;247;247;0;20;19;19;34;53;66;4113104;961;961;0;73;961;481;480;376451;376451;0;168;20;21;2;2
90;270030005000048;3.78;515.58;354.33;575.05;278;278;0;32;9;9;54;73;67;362394;1050;1050;0;102;1050;505;545;315195;315195;0;208;12;12;0;0
91;270030005000049;3.75;619.22;349.28;591.98;312;312;0;33;23;23;52;83;65;521494;1171;1171;0;106;1171;555;616;335654;335654;0;260;12;17;1;0
92;270030005000050;3.4;315.71;192.12;396.84;276;276;0;43;31;31;55;76;57;31978;938;938;0;152;938;470;468;139290;139290;0;189;2;2;0;0
93;270030005000051;3.66;1041.33;563.47;876.7;340;340;0;53;20;20;71;73;88;521599;1246;1246;0;193;1246;614;632;580373;580373;0;246;18;53;3;2
94;270030005000052;3.87;619.81;322.87;601.15;259;259;0;51;14;14;39;47;88;4013104;1003;1003;0;178;1003;473;530;269916;269916;0;212;14;13;0;0
95;270030005000053;3.67;450.44;265.48;565.69;300;300;0;30;20;20;60;76;68;3324102;1102;1102;0;102;1102;528;574;237737;237737;0;200;11;9;1;0
96;270030005000054;3.38;867.9;524.21;806.75;681;567;0;142;52;52;144;192;159;883075;2304;2005;0;477;2304;1113;1191;961225;961225;0;493;63;75;2;1
97;270030005000055;3.7;667.27;367.9;627.56;369;369;0;47;24;24;63;90;88;652391;1365;1365;0;189;1365;654;711;399790;399790;0;290;9;25;3;1
98;270030005000056;3.71;415.8;224.48;420.95;407;399;1;76;36;36;62;109;93;55231210;1509;1478;6;283;1509;717;792;269830;269830;0;346;7;4;0;0
99;270030005000057;3.61;855.11;455.44;762.39;339;339;0;40;15;15;66;91;91;451584;1225;1225;0;145;1225;603;622;486405;486405;0;241;46;27;0;1
100;270030005000058;3.73;1759.01;909.4;1370.78;567;567;0;49;24;24;107;142;133;974646;2114;2114;0;192;2114;990;1124;1577008;1577008;0;280;72;168;19;9
101;270030005000059;3.87;1750.91;954.73;1463.52;290;289;0;54;18;18;39;65;74;582155;1119;1117;0;217;1119;499;620;904420;903270;1150;137;35;94;9;5
102;270030005000060;3.4;1585.57;839.21;1312.96;258;250;3;61;20;20;57;66;56;43912;877;862;4;206;877;384;493;650420;649920;500;139;32;67;1;7
103;270030005000061;3.45;1174.82;665.71;1023.94;234;231;0;53;26;26;53;55;43;321134;806;800;0;178;806;353;453;468320;467810;510;154;23;40;2;1
104;270030005000062;3.59;1168.23;635.0;1012.67;253;253;0;60;25;25;51;54;59;3212134;909;909;0;200;909;418;491;501476;501476;0;188;13;24;1;8
105;270030005000063;3.71;735.97;449.55;772.14;346;299;18;111;43;43;54;69;68;5342103;1285;1152;60;382;1285;598;687;495056;495056;0;246;24;25;0;1
106;270030005000064;3.05;928.38;561.66;848.2;245;212;8;67;42;42;53;60;50;27642;744;678;18;175;744;339;405;374221;374221;0;171;23;30;2;0
107;270030005000065;3.66;821.64;455.64;755.03;257;255;0;60;23;23;46;55;68;321592;941;936;0;193;941;434;507;367698;367048;650;185;26;21;0;1
108;270030005000066;3.48;874.83;531.85;811.55;258;255;0;41;24;24;59;51;58;3616101;892;889;0;142;892;411;481;406080;406080;0;177;14;32;0;1
109;270030005000067;3.52;932.75;485.37;799.28;313;310;1;69;28;28;59;81;71;431664;1099;1093;2;229;1099;499;600;454280;454280;0;223;30;31;3;3
110;270030005000068;3.69;676.48;368.31;673.32;297;295;0;78;26;26;52;66;70;492074;1097;1090;0;274;1097;511;586;344541;344541;0;234;15;19;0;0
111;270030005000069;3.5;869.18;487.32;807.66;234;230;0;69;22;22;40;61;53;381350;819;806;0;248;819;379;440;346237;346237;0;190;10;24;0;2
112;270030005000070;3.53;782.1;446.91;708.24;251;244;0;82;24;24;38;68;56;431730;885;867;0;264;885;392;493;334291;334291;0;197;12;28;0;0
113;270030005000071;3.74;917.91;461.83;712.82;269;265;0;54;18;18;46;71;58;441476;1006;992;0;195;1006;446;560;393479;393479;0;204;18;27;1;1
114;270030005000072;3.86;792.37;387.44;701.64;252;251;0;49;9;9;36;61;80;371742;972;968;0;193;972;470;502;318822;318822;0;194;14;25;0;1
115;270030005000073;3.64;486.8;256.63;466.98;310;305;0;89;27;27;51;81;76;361895;1128;1112;0;318;1128;547;581;233024;232612;412;258;10;7;0;1
116;270030005000074;3.75;598.81;331.09;561.93;259;259;0;85;21;21;42;60;66;371749;971;971;0;310;971;450;521;263544;263544;0;206;17;10;0;0
117;270030005000075;3.92;394.49;210.86;367.34;290;289;0;39;22;22;49;69;59;402399;1137;1130;0;137;1137;536;601;186607;186607;0;250;5;3;0;0
118;270030005000076;3.68;764.9;404.3;676.82;364;346;0;80;19;19;74;98;77;4724133;1334;1281;0;271;1334;624;710;458376;456846;1530;300;15;21;4;1
119;270030005000077;3.88;838.8;400.46;677.35;93;88;0;23;6;6;13;25;18;19622;361;345;0;82;361;171;190;118537;118537;0;66;11;11;0;0
120;270030005000078;3.86;561.3;300.8;596.96;360;359;1;61;18;18;64;77;91;5329203;1390;1386;4;225;1390;670;720;347005;347005;0;243;18;23;0;0
121;270030005000079;3.56;504.55;291.81;455.24;228;218;0;54;20;20;50;48;58;211864;811;773;0;181;811;382;429;200513;200513;0;206;3;5;0;0
122;270030005000080;3.63;712.37;406.1;683.85;337;316;1;79;20;20;76;73;78;4824114;1224;1162;3;256;1224;582;642;434929;434929;0;261;20;29;0;0
123;270030005000081;3.68;1228.05;781.62;1185.25;275;273;0;60;11;11;50;81;58;441673;1007;1004;0;209;1007;459;548;683909;681909;2000;161;26;54;3;2
124;270030005000082;3.38;943.97;551.93;934.12;306;301;3;73;32;32;69;69;70;322164;1030;1020;7;232;1030;441;589;492082;491194;888;183;31;47;0;2
125;270030005000083;3.69;1252.22;692.8;1092.75;315;298;3;71;19;19;63;67;77;5416105;1162;1119;12;236;1162;532;630;691272;691072;200;208;24;58;5;4
126;270030005000084;3.51;607.33;402.79;700.33;212;211;0;48;18;18;44;48;51;32665;744;741;0;159;744;332;412;261922;260702;1220;141;10;16;0;0
127;270030005000085;3.48;468.87;295.2;446.53;250;210;0;83;26;26;54;59;50;331742;870;777;0;251;870;406;464;212546;212546;0;226;9;2;0;0
128;270030005000086;3.58;505.95;277.97;436.89;257;252;1;79;19;19;70;54;44;391176;920;910;2;283;920;442;478;206987;206987;0;236;4;5;0;1
129;270030005000087;3.65;451.02;235.2;418.74;132;132;0;27;18;18;23;31;22;22721;482;482;0;120;482;231;251;89611;89611;0;111;2;3;1;0
130;270030005000088;3.55;445.95;262.11;490.64;269;269;0;64;27;27;53;69;57;321465;956;956;0;220;956;465;491;199200;199200;0;222;10;3;0;0
131;270030005000089;3.73;352.88;201.24;370.05;228;225;0;53;17;17;43;55;41;381583;850;839;0;171;850;424;426;133219;130555;2664;194;4;0;0;0
132;270030005000090;3.68;439.2;235.26;533.1;318;310;0;85;23;23;57;90;59;501898;1169;1140;0;285;1169;557;612;224435;224435;0;193;11;10;0;0
133;270030005000091;3.88;719.59;407.03;683.09;321;293;0;89;12;12;54;92;62;5618173;1247;1159;0;326;1247;574;673;413753;413753;0;225;25;30;0;1
134;270030005000092;3.71;517.54;283.23;645.4;406;406;0;60;19;19;91;93;83;653587;1508;1508;0;234;1508;767;741;342708;342708;0;264;16;17;1;0
135;270030005000093;3.78;341.23;293.02;491.55;248;225;0;76;18;18;49;47;57;4019114;938;880;0;256;938;461;477;225623;225623;0;173;6;1;0;0
136;270030005000094;3.8;717.09;392.97;703.7;255;255;0;38;13;13;42;66;63;381692;969;969;0;130;969;478;491;302089;302089;0;191;18;20;1;0
137;270030005000095;3.54;1160.57;596.65;1030.25;281;279;2;52;24;24;63;61;65;371592;995;989;6;183;995;430;565;518508;518508;0;172;18;47;3;4
138;270030005000096;3.47;817.44;467.66;731.21;282;277;1;60;24;24;55;75;62;381952;977;964;4;192;977;430;547;396697;395847;850;209;30;27;0;0
139;270030005000097;3.91;781.59;441.74;701.59;234;230;1;48;13;13;38;61;55;262194;915;905;2;176;915;388;527;343714;343714;0;176;18;21;1;0
