;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
50;120010405000025;3.28;723.91;444.4;811.16;300;292;3;43;43;43;63;82;51;60;985;968;8;147;985;477;508;352854;352854;0;187;14;24;3;2
51;120010405000026;4.58;341.85;164.65;306.33;26;26;0;0;2;2;2;7;3;9;119;119;0;0;119;64;55;13172;13172;0;22;0;2;0;0
52;120010405000027;5.55;224.73;102.45;268.94;11;0;0;0;0;0;0;0;0;0;61;0;0;0;61;33;28;0;0;0;0;0;0;0;0
53;120010405000028;3.51;452.93;255.18;515.32;72;71;0;2;12;12;13;15;11;19;251;249;0;6;251;126;125;53078;51548;1530;52;4;2;0;0
54;120010405000029;3.86;653.66;340.94;631.14;107;107;0;2;14;14;19;19;16;36;413;413;0;8;413;220;193;106032;106032;0;88;3;7;0;0
55;120010405000030;6.5;255.0;136.25;363.33;2;0;0;0;0;0;0;0;0;0;13;0;0;0;13;5;8;0;0;0;0;0;0;0;0
56;120010405000031;3.04;1602.43;1009.81;1345.08;132;108;6;22;15;15;29;38;19;16;392;330;17;63;392;184;208;332695;320043;12652;67;15;37;3;2
57;120013805000001;3.6;691.46;398.8;622.15;351;343;5;33;36;36;65;84;75;85;1265;1248;11;111;1265;644;621;398287;398287;0;299;17;22;0;0
58;120013805000002;3.41;1076.55;666.49;1049.87;300;297;2;30;39;39;59;68;64;67;1024;1016;6;100;1024;516;508;550674;550674;0;189;29;42;4;4
59;120013805000003;3.67;512.9;240.6;563.24;178;174;1;0;27;27;38;26;33;47;660;644;1;0;660;379;281;122224;121534;690;134;3;9;0;0
60;120013805000004;3.36;996.8;496.02;976.03;25;0;0;0;0;0;0;0;0;0;84;0;0;0;84;42;42;0;0;0;0;0;0;0;0
61;120013805000005;3.61;867.12;423.26;765.72;70;66;3;1;8;8;13;15;16;15;252;244;5;2;252;140;112;84229;83569;660;55;3;4;0;1
62;120013805000006;3.96;596.18;323.96;561.18;105;104;1;0;14;14;14;21;20;33;416;415;1;0;416;245;171;101046;101046;0;92;5;2;0;0
63;120013805000007;3.52;624.75;314.26;656.46;265;265;0;0;44;44;53;54;49;57;932;932;0;0;932;533;399;236324;236324;0;230;6;11;0;1
64;120013805000008;3.34;1050.6;565.3;953.1;132;132;0;0;18;18;29;31;28;24;441;441;0;0;441;252;189;197291;197291;0;87;7;9;3;4
65;120013805000009;3.66;496.64;229.47;537.85;189;183;0;1;21;21;35;44;31;49;676;670;0;3;676;382;294;113978;113978;0;143;1;5;0;1
66;120013805000010;3.69;526.04;287.12;579.51;270;266;0;0;38;38;47;56;45;72;990;982;0;0;990;540;450;218164;218164;0;192;7;15;1;0
67;120013805000011;3.71;596.62;344.89;643.92;259;257;0;30;20;20;47;62;54;71;960;953;0;108;960;491;469;251771;250541;1230;181;11;17;1;0
68;120013805000012;4.26;499.53;228.0;568.9;76;76;0;0;7;7;12;6;20;28;324;324;0;0;324;177;147;57097;57097;0;51;5;4;0;0
69;120013805000013;3.0;1000.0;530.0;530.0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;3;2;1;0;0;0;0;0;0;0;0
70;120013805000014;3.61;1857.06;905.92;1440.29;123;123;0;20;9;9;25;34;23;30;444;444;0;71;444;226;218;312544;312544;0;86;10;16;0;3
71;120017905000001;3.81;831.12;432.55;706.54;351;339;10;54;32;32;64;80;71;93;1338;1310;18;162;1338;675;663;439467;438477;990;261;25;26;4;2
72;120017905000002;3.7;1230.18;623.01;884.74;363;349;9;51;40;40;55;93;71;95;1343;1306;22;173;1343;663;680;642320;642320;0;250;38;58;1;3
73;120017905000003;3.63;531.22;270.98;637.08;128;128;0;0;15;15;23;33;20;35;464;464;0;0;464;254;210;96199;96199;0;68;8;8;0;0
74;120017905000004;3.86;427.25;189.35;517.34;51;51;0;0;3;3;8;14;8;17;197;197;0;0;197;108;89;28311;28311;0;34;0;3;0;0
75;120017905000005;3.68;521.53;349.21;693.85;257;256;0;2;36;36;48;56;43;63;945;942;0;11;945;526;419;265746;264706;1040;171;7;16;1;0
76;120017905000006;3.54;600.0;298.24;596.47;13;13;0;0;1;1;2;5;1;4;46;46;0;0;46;24;22;10140;10140;0;12;0;0;0;0
77;120017905000007;3.32;615.8;324.45;626.9;44;44;0;0;6;6;5;14;10;9;146;146;0;0;146;77;69;36987;36987;0;35;2;1;0;0
78;120017905000008;3.69;949.96;471.62;803.81;326;313;13;63;36;36;58;77;63;82;1204;1171;33;200;1204;616;588;440489;440489;0;248;19;35;2;3
79;120017905000009;3.91;503.93;233.59;520.88;248;247;0;1;25;25;49;49;43;72;973;967;0;5;973;550;423;174494;174194;300;227;4;5;0;0
80;120017905000010;3.67;562.79;255.92;620.34;75;75;0;6;18;18;9;5;15;26;275;275;0;19;275;144;131;57071;57071;0;56;4;3;0;0
81;120017905000011;3.89;524.88;275.62;526.98;239;239;0;0;28;28;42;34;56;70;929;929;0;0;929;512;417;197617;197617;0;185;6;12;1;0
82;120017905000012;3.43;515.74;244.56;559.58;55;53;1;0;7;7;11;13;8;15;187;180;5;0;187;103;84;32005;32005;0;40;3;2;0;0
83;120017905000013;3.96;558.43;292.78;630.93;53;53;0;2;10;10;10;7;6;18;210;210;0;16;210;100;110;44796;44796;0;39;3;2;0;0
84;120017905000014;3.7;1000.1;511.17;851.94;10;10;0;0;2;2;1;2;0;5;37;37;0;0;37;17;20;15335;15335;0;7;2;1;0;0
85;120017905000015;2.33;1006.67;650.0;758.33;3;0;0;0;0;0;0;0;0;0;7;0;0;0;7;3;4;0;0;0;0;0;0;0;0
86;120017905000016;3.53;665.25;321.98;691.07;121;118;0;0;13;13;26;23;28;25;425;416;0;0;425;241;184;111816;110106;1710;77;6;12;0;0
87;120017905000017;2.67;661.17;443.36;609.63;6;0;0;0;0;0;0;0;0;0;16;0;0;0;16;8;8;0;0;0;0;0;0;0;0
88;120017905000018;3.11;278.89;250.93;418.22;18;18;0;0;4;4;2;6;0;6;56;56;0;0;56;34;22;11292;11292;0;15;0;0;0;0
89;120020305000001;3.42;3124.76;1487.29;2257.66;249;195;36;63;23;23;58;48;53;51;822;703;82;176;822;390;432;1061172;1061172;0;99;18;84;10;21
90;120020305000002;3.9;1382.42;702.59;1143.91;351;311;7;49;23;23;42;68;90;87;1272;1220;19;176;1272;600;672;707332;706822;510;192;25;75;4;6
91;120020305000003;4.18;1081.23;601.41;1032.51;313;312;1;24;14;14;40;75;71;104;1308;1305;3;88;1308;627;681;644408;644408;0;186;37;57;4;1
92;120020305000004;4.14;838.63;499.12;794.43;376;372;2;33;25;25;55;88;75;114;1555;1547;3;116;1555;759;796;628241;628241;0;274;26;47;1;0
93;120020305000005;4.18;840.17;460.8;758.96;338;335;3;11;33;33;35;67;69;127;1414;1411;3;41;1414;697;717;516093;516093;0;248;21;40;1;0
94;120020305000006;4.03;586.42;358.14;791.33;191;191;0;17;13;13;21;43;55;55;770;770;0;65;770;355;415;215093;215093;0;100;10;15;0;0
95;120020305000007;4.46;698.78;374.53;649.84;393;393;0;13;21;21;36;79;97;137;1754;1754;0;51;1754;860;894;500173;500173;0;313;14;26;3;1
96;120020305000008;3.99;1177.24;590.5;1022.15;177;174;2;18;8;8;24;47;33;61;708;696;7;55;708;318;390;348866;348466;400;116;10;33;1;2
97;120020305000009;3.22;2478.79;1293.99;1947.18;228;168;58;69;44;44;62;47;27;41;735;627;102;145;735;374;361;812091;812091;0;95;25;76;9;8
98;120020305000010;3.73;1724.85;950.39;1469.4;200;183;16;42;12;12;40;43;52;48;743;704;38;124;743;368;375;619478;618968;510;99;22;61;6;3
99;120020305000011;3.52;1404.99;912.9;1428.4;348;315;33;70;31;31;73;89;71;78;1225;1148;77;204;1225;557;668;938009;938009;0;193;44;77;2;8
100;120020305000012;3.95;1468.85;842.2;1266.29;261;244;11;31;16;16;45;61;56;68;1014;978;30;99;1014;480;534;696055;696055;0;170;22;43;3;10
101;120020305000013;4.32;400.73;308.6;624.79;252;238;5;17;19;19;37;47;38;98;1080;1045;12;60;1080;535;545;253690;252628;1062;161;8;7;0;0
102;120020305000014;3.97;709.34;412.81;802.02;345;345;0;23;21;21;51;76;75;116;1369;1369;0;80;1369;661;708;449012;449012;0;205;26;43;0;0
103;120020305000015;4.15;650.17;351.29;612.98;131;129;1;2;8;8;15;32;30;40;546;535;5;12;546;258;288;151406;150446;960;98;11;7;0;0
104;120020305000016;4.48;475.14;282.37;489.93;376;376;0;12;15;15;39;73;82;150;1683;1683;0;37;1683;843;840;360585;360585;0;304;16;8;1;0
105;120020305000017;4.42;686.15;319.96;588.69;211;209;0;7;14;14;21;39;42;85;926;924;0;31;926;468;458;223741;223316;425;172;17;8;0;1
