;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
3056;510600005000031;3.04;663.6;348.15;792.34;25;25;0;0;9;9;2;3;3;7010;76;76;0;0;76;44;32;22978;22978;0;17;0;2;0;0
3057;510610905000001;3.42;756.26;508.29;762.44;248;247;0;22;28;28;61;51;47;321755;847;843;0;69;847;406;441;355295;355295;0;169;15;24;1;1
3058;510610905000002;3.39;790.12;481.45;780.69;193;193;0;6;16;16;40;57;52;12545;654;654;0;20;654;317;337;253725;253725;0;145;14;18;1;0
3059;510610905000003;3.41;783.74;481.53;756.13;198;198;0;27;19;19;40;48;47;281122;676;676;0;79;676;355;321;279768;279768;0;135;16;13;2;1
3060;510610905000004;3.33;607.16;364.83;646.94;105;105;0;11;11;11;22;27;25;11531;350;350;0;35;350;179;171;111274;111274;0;70;10;6;0;0
3061;510610905000005;2.78;432.38;245.86;606.53;215;215;0;0;60;60;57;39;22;191140;597;597;0;0;597;333;264;128585;128585;0;138;0;4;0;1
3062;510610905000006;3.35;810.24;447.67;764.87;105;105;0;1;24;24;22;14;20;9850;352;352;0;3;352;193;159;132283;132283;0;80;5;4;1;1
3063;510610905000007;3.06;761.63;407.19;762.36;165;163;0;1;39;39;30;32;26;22941;501;499;0;3;501;278;223;172545;169445;3100;127;7;8;1;1
3064;510610905000008;2.8;607.54;334.78;661.09;61;61;0;0;17;17;20;4;7;9201;171;171;0;0;171;101;70;48866;48866;0;46;1;1;0;1
3065;510610905000009;3.44;913.98;472.76;811.07;64;64;0;3;13;13;10;11;9;11730;220;220;0;11;220;124;96;85387;85387;0;54;4;2;0;1
3066;510610905000010;2.74;588.05;379.78;659.02;127;126;0;1;35;35;27;28;19;8720;346;345;0;4;346;208;138;109484;108974;510;92;5;4;0;1
3067;510610905000011;3.25;646.44;391.61;648.82;97;97;0;0;18;18;22;20;11;14651;315;315;0;0;315;183;132;106001;106001;0;75;5;8;0;0
3068;510610905000012;3.07;1117.94;674.51;1033.34;164;164;0;25;20;20;44;46;32;12514;503;503;0;61;503;257;246;306902;306902;0;100;13;22;3;3
3069;510610905000013;3.27;900.78;486.83;958.33;176;176;0;31;29;29;33;41;34;23870;575;575;0;91;575;282;293;242906;242906;0;105;11;14;1;2
3070;510610910000001;3.66;583.56;366.41;616.24;85;85;0;4;7;7;17;15;23;12721;311;311;0;20;311;162;149;94901;94901;0;72;1;3;0;0
